IR Wavenumber(cm-1),Absorbance
3768,0.000738929
3767,0.000738929
3766,0.000782434
3765,0.000782434
3764,0.000782434
3763,0.000782434
3762,0.000738929
3761,0.000695428
3760,0.000651931
3759,0.000651931
3758,0.000695428
3757,0.000782434
3756,0.0009565
3755,0.001130636
3754,0.001261284
3753,0.001348404
3752,0.001304842
3751,0.00121773
3750,0.00104356
3749,0.000825944
3748,0.000695428
3747,0.000608438
3746,0.000477987
3745,0.000304113
3744,0.000217202
3743,0.000217202
3742,0.000304113
3741,0.000477987
3740,0.000608438
3739,0.000695428
3738,0.000695428
3737,0.000695428
3736,0.000651931
3735,0.000608438
3734,0.000651931
3733,0.000695428
3732,0.000738929
3731,0.000825944
3730,0.000869459
3729,0.000912977
3728,0.000869459
3727,0.000825944
3726,0.000738929
3725,0.000651931
3724,0.000608438
3723,0.000521466
3722,0.000477987
3721,0.000477987
3720,0.000477987
3719,0.00056495
3718,0.000651931
3717,0.000738929
3716,0.000782434
3715,0.000738929
3714,0.000695428
3713,0.000651931
3712,0.000651931
3711,0.000738929
3710,0.000825944
3709,0.0009565
3708,0.001000028
3707,0.001000028
3706,0.000912977
3705,0.000782434
3704,0.000695428
3703,0.000608438
3702,0.000521466
3701,0.000521466
3700,0.000521466
3699,0.000521466
3698,0.00056495
3697,0.00056495
3696,0.000608438
3695,0.000651931
3694,0.000651931
3693,0.000695428
3692,0.000651931
3691,0.000651931
3690,0.000608438
3689,0.000608438
3688,0.000608438
3687,0.000651931
3686,0.000695428
3685,0.000738929
3684,0.000825944
3683,0.000912977
3682,0.00104356
3681,0.001174181
3680,0.001304842
3679,0.001435542
3678,0.001522697
3677,0.001653463
3676,0.001784268
3675,0.001871493
3674,0.001915112
3673,0.001915112
3672,0.001827878
3671,0.001784268
3670,0.00169706
3669,0.00160987
3668,0.001479117
3667,0.001391971
3666,0.001348404
3665,0.001348404
3664,0.001391971
3663,0.001479117
3662,0.00160987
3661,0.001653463
3660,0.001653463
3659,0.00160987
